Metodos Ordenacao  |              Arquivo Ordenado                             |                  Arquivo em Ordem Reversa                         |                    Arquivo Randomico                            |
                   | Comp.Prog. | Comp.Equa. |  Mov.Prog | Mov.Equa. |  Tempo  |  Comp.Prog.  |  Comp.Equa.  |   Mov.Prog  |  Mov.Equa.  |  Tempo  |  Comp.Prog.  |  Comp.Equa.  |   Mov.Prog |  Mov.Equa. |  Tempo  |
   Insercao Direta |        63  |  7,000000  |        0  | 21,000000 |      0  |          88  |   17,000000  |         43  |  42,000000  |      1  |          28  |   17,000000  |        21  | 31,000000  |      0  |
  Insercao Binaria |       654  |  3,224720  |        0  | 21,000000 |      1  |         620  |    3,224720  |         61  |  42,000000  |      2  |         102  |    3,224720  |        23  | 31,000000  |      0  |
    Selecao Direta |      2016  | 28,000000  |        0  | 21,000000 |      5  |        2016  |   28,000000  |         12  |  42,000000  |      5  |         120  |   28,000000  |        10  | 11,842448  |      0  |
             Bolha |      2016  | 28,000000  |        0  |  0,000000 |     10  |        2016  |   28,000000  |         58  |  42,000000  |      9  |         120  |   28,000000  |        30  | 84,000000  |      0  |
             Shake |      2016  | 28,000000  |        0  |  0,000000 |      9  |        2016  |   28,000000  |         56  |  42,000000  |      9  |         120  |   28,000000  |        30  | 84,000000  |      0  |
             Shell |       427  |  0,000000  |        0  |  0,000000 |      1  |         439  |    0,000000  |         24  |   0,000000  |      2  |          96  |    0,000000  |        10  |  0,000000  |      0  |
              Heap |      2016  |  0,000000  |      652  |  0,000000 |     12  |        2016  |    0,000000  |        636  |   0,000000  |     12  |         120  |    0,000000  |       106  |  0,000000  |      1  |
      Quick s/pivo |       126  |  0,000000  |        0  |  0,000000 |      0  |         126  |    0,000000  |          8  |   0,000000  |      0  |          30  |    0,000000  |        10  |  0,000000  |      0  |
      Quick c/pivo |        64  |  0,000000  |        0  |  0,000000 |      0  |         108  |    0,000000  |         48  |   0,000000  |      1  |          32  |    0,000000  |        16  |  0,000000  |      0  |
 Merge 1a Implemen |         0  |  0,000000  |      384  |  0,000000 |      8  |           0  |    0,000000  |        384  |   0,000000  |      8  |           0  |    0,000000  |        64  |  0,000000  |      1  |
             Gnome |        63  |  0,000000  |        0  |  0,000000 |      0  |         112  |    0,000000  |         56  |   0,000000  |      0  |          43  |    0,000000  |        30  |  0,000000  |      0  |
