Metodos Ordenacao  |              Arquivo Ordenado                             |                  Arquivo em Ordem Reversa                         |                    Arquivo Randomico                            |
                   | Comp.Prog. | Comp.Equa. |  Mov.Prog | Mov.Equa. |  Tempo  |  Comp.Prog.  |  Comp.Equa.  |   Mov.Prog  |  Mov.Equa.  |  Tempo  |  Comp.Prog.  |  Comp.Equa.  |   Mov.Prog |  Mov.Equa. |  Tempo  |
   Insercao Direta |       511  |511,000000  |        0  |1533,00000 |      3  |      130816  |65663,000000  |     131327  |131838,0000  |   1700  |       67605  |65663,000000  |     67609  |66685,0000  |    781  |
  Insercao Binaria |      8212  |1131,14622  |        0  |1533,00000 |      9  |        7716  | 1131,146220  |     131327  |131838,0000  |   1427  |        7844  | 1131,146220  |     67665  |66685,0000  |    752  |
    Selecao Direta |    130816  |130816,000  |        0  |1533,00000 |    275  |      130816  |130816,00000  |        512  |131838,0000  |    282  |      130816  |130816,00000  |      1004  |1682,68082  |    296  |
             Bolha |    130816  |130816,0000 |        0  |  0,000000 |    550  |      130816  |130816,00000  |     261632  |196224,0000  |   2833  |      130816  |130816,00000  |    134198  |392448,000  |   1763  |
             Shake |    130816  |130816,0000 |        0  |  0,000000 |    550  |      130816  |130816,00000  |     261632  |196224,0000  |   2835  |      130816  |130816,00000  |    134198  |392448,000  |   1757  |
             Shell |      3563  |  0,000000  |        0  |  0,000000 |     15  |       17218  |    0,000000  |      27310  |   0,000000  |    311  |       18007  |    0,000000  |     28888  |  0,000000  |    332  |
              Heap |    130816  |  0,000000  |     8192  |  0,000000 |    489  |      130816  |    0,000000  |       7464  |   0,000000  |    483  |      130816  |    0,000000  |      8272  |  0,000000  |    521  |
      Quick s/pivo |      1022  |  0,000000  |        0  |  0,000000 |      4  |        1022  |    0,000000  |        512  |   0,000000  |    148  |        1022  |    0,000000  |       102  |  0,000000  |      7  |
      Quick c/pivo |       512  |  0,000000  |        0  |  0,000000 |      9  |        1024  |    0,000000  |        512  |   0,000000  |     13  |        2674  |    0,000000  |      2184  |  0,000000  |     33  |
 Merge 1a Implemen |      4097  |  0,000000  |     9216  |  0,000000 |    101  |        4097  |    0,000000  |       9216  |   0,000000  |    115  |        3953  |    0,000000  |      9216  |  0,000000  |    101  |
 Merge 2a Implemen |      2304  |  0,000000  |     9216  |  0,000000 |    100  |        2304  |    0,000000  |       9216  |   0,000000  |    100  |        3961  |    0,000000  |      9216  |  0,000000  |    101  |
          Counting |         0  |  0,000000  |     3071  |  0,000000 |     32  |           0  |    0,000000  |       3071  |   0,000000  |     27  |           0  |    0,000000  |      6127  |  0,000000  |     61  |
            Bucked |       512  |  0,000000  |     1536  |  0,000000 |     17  |         512  |    0,000000  |       1536  |   0,000000  |    354  |         512  |    0,000000  |      1536  |  0,000000  |    176  |
             Radix |         0  |  0,000000  |     4134  |  0,000000 |     41  |           0  |    0,000000  |       4134  |   0,000000  |     40  |           0  |    0,000000  |      6201  |  0,000000  |     61  |
              Comb |      8577  |  0,000000  |        0  |  0,000000 |     36  |        8577  |    0,000000  |       1480  |   0,000000  |     49  |        8577  |    0,000000  |      3898  |  0,000000  |     71  |
             Gnome |       511  |  0,000000  |        0  |  0,000000 |      2  |      261632  |    0,000000  |     261632  |   0,000000  |   3425  |      134704  |    0,000000  |    134198  |  0,000000  |   1781  |
               Tim |      8988  |  0,000000  |     4096  |  0,000000 |     54  |        8508  |    0,000000  |     258048  |   0,000000  |   2815  |        8633  |    0,000000  |    136862  |  0,000000  |   1530  |
